,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4
CAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022681801793611206,0.055940851579962814,0.058423612063953446,0.06982144269128412,0.06982144269128412,0.03627986091924487,-0.023018578072206003,-0.003943139530425882
CCMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0174143999641961,0.014523302417831615,0.016898733497820843,0.01877378182936936,0.01877378182936936,0.015196173553617673,0.018836704100606005,0.017578279057839208
CCRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019785602254831128,0.0137038818694976,0.008861480692467283,0.12143955494383553,0.12143955494383553,0.04011990088251488,-0.021164783265426756,0.03199466593476977
CERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04696741400236971,0.04776324463446101,0.0468327610513923,0.04673560322485176,0.04673560322485176,0.0493173012627148,0.050337845285642266,0.04795614689835321
CHKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011280464462906745,0.03200294086698976,0.02563131725019441,0.022891859106757513,0.022891859106757513,0.03204982268526611,0.017776208206608336,0.024948124869964002
CPSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013084015777494074,-0.08931355227541696,-0.06853452443805794,-0.0004975965542666216,-0.0004975965542666216,-0.04629431576614998,-0.195937356354701,-0.0485195907626457
CREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005830730662183925,-0.03686999335584875,-0.03037164892287409,0.017209861907918872,0.017209861907918872,-0.010925859000100763,0.0355435347461603,-0.02202206080488075
CRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09241218731468143,0.12110201404424381,0.1316342584192973,0.11658732298830447,0.11658732298830447,0.11973788531324293,0.1075523372520889,0.12592453037800672
CSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006907274323511722,0.018777675816058353,0.021268564367970068,0.031957087318508784,0.031957087318508784,0.03733471006317072,0.012649027942221377,0.021795296027224215
CSGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021290206380421672,0.14894127432566034,0.08088881198664927,0.17883991000115124,0.17883991000115124,0.15825825137401428,0.05871512484107608,0.020348171035174223
CSIQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.030826359628900124,-0.2516423350188092,-0.2782081431682704,0.025644042714016713,0.025644042714016713,-0.24129194696075998,0.030499928600966897,-0.03561264791668495
CSPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04598123130066138,0.07861646995498758,0.06362113240928882,0.06442214338703313,0.06442214338703313,0.09365684418141829,0.009999331072323918,0.05416342609108675
CTSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031156148592092182,0.04577235411098163,0.04276862682223176,0.04510427135983284,0.04510427135983284,0.04409018918026947,0.05151278565380736,0.04033150955380437
CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003653995264119303,0.06339686887319496,0.06691308140005381,0.08261127740910415,0.08261127740910415,0.08745584184864538,0.07861009010826896,0.08052599718153367
CVLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02771000710241716,0.038648331629032986,0.0553788207350424,0.04361946040470242,0.04361946040470242,0.03607326488069965,0.032742712271356306,0.03391662437231606
DGII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030732833058927933,0.008153296761674634,0.01238916712398887,0.01025002924629458,0.01025002924629458,-0.021140326285422194,-0.034195700821366956,-0.007099648983286744
DSPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045922843144678635,0.033814523071487204,0.04143305669492952,0.014766605290574754,0.014766605290574754,0.023743131321593974,0.025269894410886985,0.01763759240323469
EGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011812317356681167,0.10847411206466247,0.05780337221272752,0.14479016329387787,0.14479016329387787,0.07882853662796005,0.11233377916733141,0.07389822087339716
ELTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011345253354925032,-0.020843042220060386,0.004015557461545093,0.0051381357538864214,0.0051381357538864214,0.004699880590725274,0.11681557656695797,0.002153499130648005
EMKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03005255691562078,0.13000147405174053,0.12364920311879732,0.17198111339670766,0.17198111339670766,0.160309633272708,0.15668672964584884,0.0972562890921611
EPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004199628566508434,-0.02567122705704985,-0.007534344269935364,-0.010121954090747488,-0.010121954090747488,0.01951672387652062,-0.007534331579954999,-0.003852367863095431
ERII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05542013171814503,0.031067665628785393,-0.0012850901704446124,0.08972073093711815,0.08972073093711815,0.01611465931285147,0.060801210895058286,0.09921802791429742
EVOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00508716064107384,0.0180281103316597,0.06833100171744871,-0.02693905337524622,-0.02693905337524622,0.018706834986109873,0.04486850127737834,-0.01905750083259415
EXTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1101401162195825,0.09700320653110642,0.06853536997719334,0.11200478492703889,0.11200478492703889,0.09603065351282453,0.11979582503969274,0.07624386265153758
FFIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014542081052898906,-0.017677863139385755,-0.029686037221260467,-0.0015842618010160348,-0.0015842618010160348,-0.017120427946631003,0.002221500037046978,0.01589484096063025
FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025756674573200272,0.07964256238755921,0.05194337143273779,0.07969767300027909,0.07969767300027909,0.0593264442016819,0.0037280317348024894,0.029650215418706466
FLEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05273802267963035,0.05903613797513116,0.10129121298411221,0.014144872842144052,0.014144872842144052,0.0708942275972273,-0.03233367442408408,-0.03653200152010244
FORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1419117390813296,0.007328828537016191,0.034763001883446054,0.09394967017420769,0.09394967017420769,0.03641328336276997,0.11497551930014044,-0.004586282848166756
FSLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0062181670298043085,0.015787573760740053,0.02225398124701554,-0.016177806987049154,-0.016177806987049154,0.022304082469360276,-0.004935909788147931,-0.005556102523515613
FTNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0275615808314245,0.07452889198168604,0.06977081130630194,0.05791761729118253,0.05791761729118253,0.08369912421261932,0.03619561631770203,0.06720772672606674
GLUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016421580997443452,0.04263992513830605,0.04937011753317812,0.04456793916892904,0.04456793916892904,0.04471577508740342,0.031061999666360945,0.028306490869001312
GOOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051845202534751014,0.028018554425757916,0.036368693545960076,0.016682745343563954,0.016682745343563954,0.053575425792584896,0.05031973350319267,0.03570199030191523
GSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02393549380548008,-0.007926339235426039,-0.007301551411536553,-0.008190675655608147,-0.008190675655608147,-0.00883333790620189,0.002817806675543928,-0.0053876796802936906
HIMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45325044185642405,0.09414946777353109,-0.17891985945360514,0.17929070409505413,0.17929070409505413,0.04379456319074329,0.11304744249386209,0.021878436413346997
HLIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17413182020756263,-0.2957650916400478,-0.22969437843110674,-0.28631831537863717,-0.28631831537863717,-0.09964748439142995,-0.19847439037757147,-0.158575884797169
HSII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06615479458540181,-0.09477233896920671,-0.12999933202161734,-0.04911950483595297,-0.04911950483595297,-0.09829697053963049,-0.04395706461752076,-0.04659668889251101
HSTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1044893385285759,0.05987140855569614,0.07834850612927063,0.05097636054209413,0.05097636054209413,0.06864445237960935,0.06423368961609721,0.0887541686771823
IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0898230350332291,0.0193194259331716,-0.004201647537439511,0.13039819755229454,0.13039819755229454,0.02593035368223919,0.003787672606564443,0.042465230517336854
IMMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1091787469060258,0.01632643956070369,0.014671111892147162,0.049201979412458345,0.049201979412458345,0.018573489907916567,0.009267606956488095,0.019641573192581835
INOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2135925738800965,-0.03890941820558727,-0.015205594629612518,-0.01469040233478136,-0.01469040233478136,-0.05718834775677998,-0.06648661968318226,0.005017337240380629
INTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01524386433794489,0.01602426924063366,0.0025901990200868086,0.05056939107804155,0.05056939107804155,0.020280984629412635,-0.0288359370329751,0.02058299442657721
IPGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03597682389452833,0.03373433549977348,0.03560793958152757,0.038501514734485966,0.038501514734485966,0.03767342722720954,0.042742075193093615,0.043165050341327366
ISSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10736320355442186,0.0030567897580811385,0.027451685363803567,-0.0028269926313597774,-0.0028269926313597774,-0.02273919602581977,-0.013197668486419166,0.07944261382615402
ITRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19088250495251596,0.12270037039893386,0.13665722565784907,-0.021892845622301815,-0.021892845622301815,0.30984258311872054,-0.14140833404143383,0.10240185015470765
IVAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045437746678998074,-0.047356796154491634,-0.04760636016842899,-0.04681772054269203,-0.04681772054269203,-0.04779263070477925,-0.04857682663275389,-0.0470764901850377
JCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03374348050549558,0.07846104190711428,0.0687097203312814,-0.022902953229218065,-0.022902953229218065,0.08502903388605376,0.03916110878937329,0.0336444649927895
JKHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03225267556032971,0.04918008558781278,0.05463222638895189,0.09581731163118111,0.09581731163118111,0.05740758244200381,0.036796797629452996,0.037964022379291584
JOBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04920788397682682,0.07963653312444129,-0.1054178961674807,-0.23527568069430504,-0.23527568069430504,-0.06288046438643263,-0.07043743152081666,-0.06612692059015768
KFRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005771358596491805,0.05096232031136577,0.07034082801985078,0.06488609754774145,0.06488609754774145,0.050915427479296005,0.02285360368836918,0.028260511677707587
KOPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006707787476421812,-0.01855915532909741,-0.032803392768214035,-0.04275971105515929,-0.04275971105515929,-0.01857412386274042,-0.02791552342605526,-0.027842823499108323
KTCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02610293502523295,0.02587918276343374,0.0254038802583954,0.015313194790712102,0.015313194790712102,0.02831819127718345,0.023690962902575295,0.026145635209817098
KVHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012729453327698335,-0.0033504419455637584,-0.000630573438792319,0.0018729622077765622,0.0018729622077765622,0.0013668618930938372,0.0012340949062427777,-0.0011204294672118656
LOGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06193659353886269,0.0660152679894265,0.06883844846610365,0.06263474057670054,0.06263474057670054,0.0641941029958896,0.05612983286808318,0.06423124629757139
LPSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027417461275602545,0.023455039441624526,0.020209332952969773,0.01757210292244837,0.01757210292244837,0.01929828279603163,0.01968904750890979,0.01781895293944122
LPTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012854553056260154,-0.017411728455900694,0.03830453653325991,-0.18571495845442662,-0.18571495845442662,0.05377586760480493,0.1507174928880396,0.11346154571954592
LRCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18263099413821937,0.13421401908621772,0.08392822802499053,0.06337350706348283,0.06337350706348283,0.03189385763221564,0.11123638097252314,0.07925358814431982
LTRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008131177512694099,-0.006157765945488851,-0.010118933281865366,-0.022792456800168264,-0.022792456800168264,-0.001472622863503666,-0.00837645559980357,-0.013121841201316977
MANH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04586167732125973,0.08682677767814584,0.0792670581184547,0.07185265341416619,0.07185265341416619,0.08964591674751833,0.05312247249419835,0.05940801909669248
MCHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11563364646915805,0.0505062704343594,0.08625394975524944,0.1337286466080002,0.1337286466080002,0.0639690140160668,0.12665718142753743,0.1204915425143443
MGIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05983300725147122,0.01608492480660685,-0.00941067318813539,0.008447529997390194,0.008447529997390194,0.054770079409682475,0.028743665567845175,0.042182959011437274
MGRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000735872283581079,0.005805966602963657,0.0049701610113688025,0.0070954630522330475,0.0070954630522330475,0.0009411503836959136,-0.004226653446244583,0.0001738439600512398
MOSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1739040983230322,-0.07637503753774545,-0.020849268766694906,-0.15722210189918664,-0.15722210189918664,-0.03666354374465541,-0.055435015908161626,-0.0004176827116140222
MPWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03696755757936751,0.02409827996332284,0.03960166183925759,0.04895006858478468,0.04895006858478468,0.05841965584865749,0.013118567173028783,0.010949939333167125
MRVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03741691486927727,0.013052568660932178,0.030486358286046428,0.06427867725855908,0.06427867725855908,0.01610853181514002,0.04011145702039991,0.04473279715977259
MSFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01520381948681851,-0.03067543153665822,-0.0007315246157798272,-0.020324708468859587,-0.020324708468859587,0.039614927494913105,-0.01223606397626037,0.015425836117939268
MSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005093498048013574,-0.012666300669988678,-0.008650782442093843,-0.0005345046385866956,-0.0005345046385866956,-0.018160888863023937,0.003516568119089583,-0.02596591949935694
MXIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005879330767654324,0.02390204467196342,0.017403266597648688,0.01651058497430028,0.01651058497430028,0.021212529353194995,0.009436446781654624,0.002413037101428997
NATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0009536029977601779,0.012033104493274058,0.008485106178783213,0.021380165672209257,0.021380165672209257,0.010833717607230453,-0.0012132051308019719,0.005198099307077167
NTAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10846414270428267,0.03992483465434473,0.04124522176234024,0.06184615164338896,0.06184615164338896,0.03988016723666946,0.07853701816471798,0.0731873286016047
NTCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025182934649577854,0.08973405400203052,0.08261715159057645,0.0505041400662736,0.0505041400662736,0.06597436365491358,0.028118150958364813,0.024112919981286854
NVDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25775555565095387,0.1697833510911022,0.1633216136983731,0.10054928948171517,0.10054928948171517,0.19421381383821784,0.18503406471546455,0.21084676070236041
OMCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03817181429907964,0.0362828320033984,0.030062085879740873,0.016843047979275654,0.016843047979275654,0.030269724399505073,0.03574724227958621,0.03173787094864167
OSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09589830234741997,0.042294120986883815,0.04473056967922456,0.06242250969152263,0.06242250969152263,0.08460107260771765,0.12832497084212216,0.10470820292003742
OTEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037388609742710535,0.04400101913093915,0.04300909495011293,0.03851355219737285,0.03851355219737285,0.04351361937769498,0.04303970209122046,0.041217839155125995
PCTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0318241748356763,-0.018868431322027607,0.01369608540989617,0.012316917615465092,0.012316917615465092,-0.019701951150630007,-0.00783824972883445,0.003509398134244626
PDFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05275016082265299,-0.08925485503321443,-0.13163170521031756,-0.18912181947568937,-0.18912181947568937,-0.07560406367229519,-0.0774126927940266,-0.05551011718438656
PEGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016270680477175115,0.06517097217870504,0.06469907002701888,0.08041245630092163,0.08041245630092163,0.08217257788394551,0.04514215009196494,0.05343161242607554
PLAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10407152167048453,-0.04138284959395109,-0.013022549608993267,-0.045096452253797416,-0.045096452253797416,-0.005012155134420007,-0.04604780526138868,-0.05073390115259092
PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045612474513559334,0.055195254429729126,0.02759081272335075,0.06490261944893805,0.06490261944893805,0.041526159330125254,0.13457586079869482,0.09680521013059593
PRFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007609196277429203,0.05203385592346492,0.033876974370562224,0.029648125181612514,0.029648125181612514,0.04964149699500314,0.014072596149743391,0.0344299620472837
PXLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13024813287459783,0.08654612208555212,0.08641069666207418,0.10351343574946673,0.10351343574946673,0.08160429442317554,0.07061963193083944,0.06180330725476787
